Elektrizitätsbilanz der Schweiz - Monatswerte, in GWh   ;;;;;;;;;;;;;
Bilan suisse de l'électricité - valeurs mensuelles, en GWh  ;;;;;;;;;;;;;
Mai / Mai 1991;2295;1847;143;4285;115;4170;2066;2146;4090;301;3789;-80;
Juni / Juin 1991;3522;1026;59;4607;357;4250;1927;2372;3805;262;3543;-445;
Juli / Juillet 1991;3817;1375;62;5254;420;4834;1757;2954;3637;285;3352;-1197;
August / Août 1991;3345;905;60;4310;344;3966;1731;2000;3697;278;3419;-269;
September / Septembre 1991;2956;1675;59;4690;253;4437;1774;2364;3847;282;3565;-590;
Oktober / Octobre 1991;2953;2155;83;5191;71;5120;1735;2464;4391;325;4066;-729;
November / Novembre 1991;2228;2094;187;4509;42;4467;2130;1927;4670;333;4337;203;
Dezember / Décembre 1991;2235;2184;168;4587;84;4503;2307;1907;4903;350;4553;400;
Januar / Janvier 1992;2301;2176;219;4696;50;4646;2350;1908;5088;338;4750;442;
Februar / Février 1992;2472;2032;261;4765;43;4722;2105;1854;4973;362;4611;251;
März / Mars 1992;2174;2121;218;4513;35;4478;2223;2008;4693;345;4348;215;
April / Avril 1992;2308;1836;69;4213;84;4129;2129;2100;4158;323;3835;29;
Mai / Mai 1992;3401;1778;71;5250;215;5035;1653;2750;3938;290;3648;-1097;
Juni / Juin 1992;3595;1256;67;4918;195;4723;1464;2454;3733;260;3473;-990;
Juli / Juillet 1992;3680;1616;62;5358;250;5108;1268;2672;3704;287;3417;-1404;
August / Août 1992;3532;1016;63;4611;248;4363;1453;2075;3741;278;3463;-622;
September / Septembre 1992;3058;1862;66;4986;122;4864;1490;2431;3923;285;3638;-941;
Oktober / Octobre 1992;2522;2164;132;4818;67;4751;1741;2060;4432;327;4105;-319;
November / Novembre 1992;2323;2066;147;4536;88;4448;1916;1864;4500;321;4179;52;
Dezember / Décembre 1992;2359;2198;127;4684;41;4643;1965;1870;4738;339;4399;95;
Januar / Janvier 1993;2418;2191;97;4706;44;4662;2442;2306;4798;321;4477;136;
Februar / Février 1993;2505;1987;91;4583;10;4573;2338;2356;4555;326;4229;-18;
März / Mars 1993;2389;2193;112;4694;26;4668;2477;2368;4777;348;4429;109;
April / Avril 1993;2134;1867;69;4070;43;4027;2146;2181;3992;310;3682;-35;
Mai / Mai 1993;2936;1780;68;4784;142;4642;1823;2662;3803;278;3525;-839;
Juni / Juin 1993;3794;1105;59;4958;207;4751;1746;2725;3772;262;3510;-979;
Juli / Juillet 1993;3798;1722;68;5588;206;5382;1385;3108;3659;282;3377;-1723;
August / Août 1993;3596;1042;64;4702;240;4462;1551;2324;3689;274;3415;-773;
September / Septembre 1993;3534;1633;69;5236;129;5107;1690;2847;3950;286;3664;-1157;
Oktober / Octobre 1993;4151;2117;78;6346;59;6287;1563;3479;4371;326;4045;-1916;
November / Novembre 1993;2791;2154;123;5068;24;5044;2184;2454;4774;338;4436;-270;
Dezember / Décembre 1993;2207;2238;133;4578;56;4522;2509;2243;4788;338;4450;266;
Januar / Janvier 1994;2551;2236;150;4937;44;4893;2418;2491;4820;319;4501;-73;
Februar / Février 1994;2706;1974;119;4799;11;4788;2276;2550;4514;321;4193;-274;
März / Mars 1994;2679;2226;99;5004;34;4970;2259;2792;4437;320;4117;-533;
April / Avril 1994;2690;2140;73;4903;33;4870;1928;2621;4177;321;3856;-693;
Mai / Mai 1994;3617;1877;74;5568;105;5463;1527;3079;3911;282;3629;-1552;
Juni / Juin 1994;4182;1292;66;5540;173;5367;1508;2992;3883;270;3613;-1484;
Juli / Juillet 1994;4369;1397;76;5842;290;5552;1477;3391;3638;280;3358;-1914;
August / Août 1994;4155;1164;64;5383;266;5117;1344;2754;3707;276;3431;-1410;
September / Septembre 1994;4170;1957;71;6198;171;6027;1360;3403;3984;288;3696;-2043;
Oktober / Octobre 1994;3104;2273;78;5455;43;5412;1972;3073;4311;322;3989;-1101;
November / Novembre 1994;2691;2214;129;5034;69;4965;2179;2701;4443;319;4124;-522;
Dezember / Décembre 1994;2642;2234;122;4998;32;4966;2475;2719;4722;332;4390;-244;
Januar / Janvier 1995;2883;2294;140;5317;28;5289;2811;2942;5158;336;4822;-131;
Februar / Février 1995;2425;2063;138;4626;25;4601;2516;2738;4379;314;4065;-222;
März / Mars 1995;2701;2277;137;5115;31;5084;2782;3052;4814;341;4473;-270;
April / Avril 1995;2472;1938;78;4488;87;4401;2330;2686;4045;312;3733;-356;
Mai / Mai 1995;3477;1945;75;5497;140;5357;1856;3212;4001;285;3716;-1356;
Juni / Juin 1995;3761;1528;66;5355;194;5161;1699;2978;3882;266;3616;-1279;
Juli / Juillet 1995;4223;1539;72;5834;373;5461;1765;3516;3710;284;3426;-1751;
August / Août 1995;3541;1250;74;4865;246;4619;1787;2650;3756;279;3477;-863;
September / Septembre 1995;3026;1881;81;4988;138;4850;2290;3110;4030;285;3745;-820;
Oktober / Octobre 1995;2353;2259;106;4718;114;4604;2699;3104;4199;314;3885;-405;
November / Novembre 1995;2371;2223;138;4732;53;4679;3052;3049;4682;330;4352;3;
Dezember / Décembre 1995;2364;2289;170;4823;91;4732;3361;3182;4911;339;4572;179;
Januar / Janvier 1996;2231;2295;193;4719;56;4663;3162;2750;5075;331;4744;412;
Februar / Février 1996;2424;2149;214;4787;28;4759;3069;2900;4928;349;4579;169;
März / Mars 1996;1763;2270;148;4181;85;4096;3413;2745;4764;336;4428;668;
April / Avril 1996;1704;2201;124;4029;87;3942;2788;2621;4109;318;3791;167;
Mai / Mai 1996;2681;2213;117;5011;198;4813;2324;3173;3964;282;3682;-849;
Juni / Juin 1996;3354;1484;99;4937;221;4716;2286;3232;3770;254;3516;-946;
Juli / Juillet 1996;3297;1538;92;4927;327;4600;2263;3125;3738;286;3452;-862;
August / Août 1996;2910;1144;89;4143;315;3828;2184;2279;3733;276;3457;-95;
September / Septembre 1996;2170;1898;121;4189;131;4058;2815;2725;4148;292;3856;90;
Oktober / Octobre 1996;2128;2044;143;4315;113;4202;3090;2881;4411;326;4085;209;
November / Novembre 1996;2619;2206;173;4998;125;4873;2890;2913;4850;337;4513;-23;
Dezember / Décembre 1996;2417;2277;190;4884;68;4816;3201;3087;4930;341;4589;114;
Januar / Janvier 1997;2826;2287;191;5304;23;5281;3145;3201;5225;337;4888;-56;
Februar / Février 1997;2115;2063;194;4372;32;4340;2899;2706;4533;326;4207;193;
März / Mars 1997;2253;2267;185;4705;49;4656;2764;2899;4521;319;4202;-135;
April / Avril 1997;2271;2183;131;4585;42;4543;2380;2688;4235;327;3908;-308;
Mai / Mai 1997;2890;2174;116;5180;195;4985;2160;3161;3984;284;3700;-1001;
Juni / Juin 1997;3771;1521;114;5406;278;5128;2044;3318;3854;261;3593;-1274;
Juli / Juillet 1997;4034;1835;120;5989;284;5705;1866;3761;3810;289;3521;-1895;
August / Août 1997;3786;1196;112;5094;242;4852;1739;2776;3815;280;3535;-1037;
September / Septembre 1997;3356;1976;136;5468;191;5277;2015;3252;4040;285;3755;-1237;
Oktober / Octobre 1997;2813;1994;159;4966;72;4894;2899;3278;4515;330;4185;-379;
November / Novembre 1997;2334;2194;196;4724;50;4674;3188;3071;4791;333;4458;117;
Dezember / Décembre 1997;2345;2281;181;4807;61;4746;3556;3298;5004;344;4660;258;
Januar / Janvier 1998;2383;2285;208;4876;35;4841;3727;3462;5106;331;4775;265;
Februar / Février 1998;2240;2062;255;4557;24;4533;3465;3390;4608;328;4280;75;
März / Mars 1998;2343;2269;267;4879;24;4855;3615;3648;4822;333;4489;-33;
April / Avril 1998;2344;1978;235;4557;69;4488;3320;3519;4289;326;3963;-199;
Mai / Mai 1998;2995;2035;138;5168;153;5015;2714;3691;4038;286;3752;-977;
Juni / Juin 1998;3851;1613;131;5595;304;5291;2451;3762;3980;265;3715;-1311;
Juli / Juillet 1998;3672;1779;123;5574;299;5275;2504;3912;3867;290;3577;-1408;
August / Août 1998;3376;1312;135;4823;313;4510;2963;3580;3893;287;3606;-617;
September / Septembre 1998;3110;2165;161;5436;190;5246;2601;3645;4202;295;3907;-1044;
Oktober / Octobre 1998;2458;2269;219;4946;108;4838;3027;3393;4472;326;4146;-366;
November / Novembre 1998;2867;2261;201;5329;57;5272;3201;3518;4955;338;4617;-317;
Dezember / Décembre 1998;2656;2340;212;5208;44;5164;3831;3853;5142;349;4793;-22;
Januar / Janvier 1999;2300;2279;248;4827;44;4783;4109;3703;5189;329;4860;406;
Februar / Février 1999;2499;2107;230;4836;21;4815;3552;3371;4996;352;4644;181;
März / Mars 1999;2570;2180;225;4975;34;4941;3694;3597;5038;341;4697;97;
April / Avril 1999;2535;2035;210;4780;95;4685;3124;3362;4447;336;4111;-238;
Mai / Mai 1999;3842;2215;191;6248;194;6054;2255;4162;4147;295;3852;-1907;
Juni / Juin 1999;4263;1860;168;6291;252;6039;2288;4328;3999;267;3732;-2040;
Juli / Juillet 1999;4446;1168;157;5771;222;5549;2536;4165;3920;293;3627;-1629;
August / Août 1999;4412;1062;177;5651;215;5436;1935;3354;4017;296;3721;-1419;
September / Septembre 1999;3946;1816;235;5997;131;5866;2552;4136;4282;298;3984;-1584;
Oktober / Octobre 1999;3681;2170;233;6084;82;6002;3120;4511;4611;335;4276;-1391;
November / Novembre 1999;3276;2276;238;5790;35;5755;3799;4450;5104;344;4760;-651;
Dezember / Décembre 1999;2846;2355;242;5443;83;5360;4100;4154;5306;357;4949;-54;
Januar / Janvier 2000;2895;2354;238;5487;72;5415;2580;2521;5474;346;5128;59;
Februar / Février 2000;2475;2213;232;4920;40;4880;2478;2337;5021;353;4668;141;
März / Mars 2000;2532;2355;229;5116;44;5072;2608;2596;5084;347;4737;12;
April / Avril 2000;2264;2278;218;4760;139;4621;2181;2375;4427;334;4093;-194;
Mai / Mai 2000;3980;2307;197;6484;228;6256;1212;3034;4434;315;4119;-1822;
Juni / Juin 2000;4079;2133;193;6405;305;6100;1023;2950;4173;278;3895;-1927;
Juli / Juillet 2000;3799;1285;176;5260;248;5012;1725;2595;4142;310;3832;-870;
August / Août 2000;3727;1024;185;4936;275;4661;1660;2092;4229;312;3917;-432;
September / Septembre 2000;2825;1979;213;5017;219;4798;2129;2558;4369;304;4065;-429;
Oktober / Octobre 2000;3424;2341;218;5983;158;5825;2035;3073;4787;348;4439;-1038;
November / Novembre 2000;3174;2297;214;5685;122;5563;2084;2614;5033;339;4694;-530;
Dezember / Décembre 2000;2677;2383;235;5295;124;5171;2615;2655;5131;345;4786;-40;
Januar / Janvier 2001;3051;2356;246;5653;87;5566;2686;2738;5514;349;5165;-52;
Februar / Février 2001;2895;2136;228;5259;66;5193;2245;2483;4955;348;4607;-238;
März / Mars 2001;3132;2375;236;5743;114;5629;2326;2729;5226;357;4869;-403;
April / Avril 2001;2874;2298;223;5395;106;5289;1851;2425;4715;356;4359;-574;
Mai / Mai 2001;4163;2336;212;6711;255;6456;1092;3047;4501;320;4181;-1955;
Juni / Juin 2001;4442;2111;202;6755;312;6443;963;3120;4286;285;4001;-2157;
Juli / Juillet 2001;5145;1468;208;6821;287;6534;1070;3317;4287;321;3966;-2247;
August / Août 2001;5076;1130;165;6371;239;6132;956;2766;4322;319;4003;-1810;
September / Septembre 2001;3292;2051;211;5554;139;5415;1986;2892;4509;314;4195;-906;
Oktober / Octobre 2001;2979;2348;229;5556;128;5428;2412;3100;4740;344;4396;-688;
November / Novembre 2001;2708;2297;227;5232;96;5136;2946;2849;5233;352;4881;97;
Dezember / Décembre 2001;2504;2387;233;5124;118;5006;3563;3074;5495;369;5126;489;
Januar / Janvier 2002;2344;2384;271;4999;102;4897;3721;2850;5768;365;5403;871;
Februar / Février 2002;1897;2143;249;4289;84;4205;3231;2486;4950;348;4602;745;
März / Mars 2002;2223;2377;251;4851;117;4734;2886;2530;5090;348;4742;356;
April / Avril 2002;2328;2233;232;4793;126;4667;2625;2568;4724;357;4367;57;
Mai / Mai 2002;3486;2256;227;5969;214;5755;1743;2943;4555;324;4231;-1200;
Juni / Juin 2002;4290;1658;215;6163;359;5804;1404;2837;4371;291;4080;-1433;
Juli / Juillet 2002;4282;1809;217;6308;310;5998;1605;3282;4321;324;3997;-1677;
August / Août 2002;3892;1439;214;5545;274;5271;1432;2389;4314;318;3996;-957;
September / Septembre 2002;3136;2277;186;5599;271;5328;1919;2711;4536;316;4220;-792;
Oktober / Octobre 2002;2478;2394;231;5103;180;4923;2641;2573;4991;362;4629;68;
November / Novembre 2002;3199;2309;250;5758;184;5574;1944;2400;5118;344;4774;-456;
Dezember / Décembre 2002;2958;2413;263;5634;197;5437;2649;2739;5347;359;4988;-90;
Januar / Janvier 2003;3195;2390;275;5860;135;5725;2857;2860;5722;362;5360;-3;
Februar / Février 2003;3028;2167;255;5450;139;5311;2722;2652;5381;378;5003;70;
März / Mars 2003;2388;2392;262;5042;219;4823;3278;2884;5217;357;4860;394;
April / Avril 2003;2376;2313;245;4934;204;4730;2881;2882;4729;358;4371;-1;
Mai / Mai 2003;3682;2269;227;6178;306;5872;1545;2958;4459;317;4142;-1413;
Juni / Juin 2003;4312;1647;226;6185;383;5802;1705;3005;4502;300;4202;-1300;
Juli / Juillet 2003;4079;2190;241;6510;317;6193;1644;3404;4433;332;4101;-1760;
August / Août 2003;3986;1193;224;5403;361;5042;2002;2609;4435;327;4108;-607;
September / Septembre 2003;2632;2251;228;5111;257;4854;2359;2659;4554;317;4237;-300;
Oktober / Octobre 2003;2605;2400;218;5223;159;5064;2700;2658;5106;370;4736;42;
November / Novembre 2003;2080;2327;242;4649;184;4465;3016;2281;5200;350;4850;735;
Dezember / Décembre 2003;2082;2392;247;4721;229;4492;3375;2344;5523;371;5152;1031;
Januar / Janvier 2004;2426;2413;270;5109;122;4987;3248;2462;5773;365;5408;786;
Februar / Février 2004;2102;2252;261;4615;90;4525;2983;2175;5333;375;4958;808;
März / Mars 2004;2585;2401;269;5255;69;5186;2661;2307;5540;379;5161;354;
April / Avril 2004;2093;2316;236;4645;120;4525;2283;2032;4776;362;4414;251;
Mai / Mai 2004;3126;2249;237;5612;246;5366;1541;2261;4646;330;4316;-720;
Juni / Juin 2004;4034;1554;238;5826;308;5518;1334;2318;4534;302;4232;-984;
Juli / Juillet 2004;4003;2212;235;6450;363;6087;1184;2825;4446;333;4113;-1641;
August / Août 2004;3753;1331;224;5308;338;4970;1578;2038;4510;332;4178;-460;
September / Septembre 2004;3167;1652;235;5054;235;4819;2164;2338;4645;323;4322;-174;
Oktober / Octobre 2004;2622;2311;244;5177;216;4961;2295;2232;5024;364;4660;63;
November / Novembre 2004;2751;2329;250;5330;158;5172;2681;2470;5383;363;5020;211;
Dezember / Décembre 2004;2455;2412;275;5142;168;4974;3104;2301;5777;388;5389;803;
Januar / Janvier 2005;2370;2414;283;5067;69;4998;3644;2730;5912;374;5538;914;
Februar / Février 2005;2753;2179;277;5209;53;5156;3361;2987;5530;389;5141;374;
März / Mars 2005;2606;2292;261;5159;145;5014;3447;2954;5507;377;5130;493;
April / Avril 2005;2506;1480;243;4229;150;4079;3620;2756;4943;375;4568;864;
Mai / Mai 2005;3242;1246;247;4735;258;4477;2930;2724;4683;333;4350;206;
Juni / Juin 2005;3751;754;246;4751;329;4422;2797;2572;4647;310;4337;225;
Juli / Juillet 2005;3339;1334;256;4929;401;4528;2888;2854;4562;342;4220;34;
August / Août 2005;3134;1051;254;4439;319;4120;2805;2356;4569;337;4232;449;
September / Septembre 2005;2807;2102;242;5151;274;4877;2432;2548;4761;331;4430;-116;
Oktober / Octobre 2005;2157;2406;266;4829;249;4580;3301;2807;5074;368;4706;494;
November / Novembre 2005;2144;2336;265;4745;176;4569;3353;2470;5452;368;5084;883;
Dezember / Décembre 2005;1950;2426;299;4675;208;4467;3768;2238;5997;403;5594;1530;
Januar / Janvier 2006;1974;2424;310;4708;204;4504;3418;1774;6148;388;5760;1644;
Februar / Février 2006;1971;2186;315;4472;152;4320;3068;1852;5536;390;5146;1216;
März / Mars 2006;2152;2417;307;4876;136;4740;3209;2045;5904;405;5499;1164;
April / Avril 2006;2202;2331;261;4794;168;4626;2805;2528;4903;372;4531;277;
Mai / Mai 2006;3257;2376;264;5897;301;5596;1939;2744;4791;341;4450;-805;
Juni / Juin 2006;3487;1559;252;5298;343;4955;2376;2678;4653;311;4342;-302;
Juli / Juillet 2006;3923;2073;266;6262;379;5883;1868;3121;4630;347;4283;-1253;
August / Août 2006;3095;1510;273;4878;317;4561;2298;2263;4596;339;4257;35;
September / Septembre 2006;3121;2234;263;5618;227;5391;2335;2936;4790;333;4457;-601;
Oktober / Octobre 2006;2673;2388;259;5320;184;5136;3111;3193;5054;367;4687;-82;
November / Novembre 2006;2380;2327;291;4998;148;4850;3424;2882;5392;364;5028;542;
Dezember / Décembre 2006;2322;2419;279;5020;161;4859;3952;3084;5727;385;5342;868;
Januar / Janvier 2007;2293;2413;297;5003;158;4845;4115;3187;5773;364;5409;928;
Februar / Février 2007;2190;2174;278;4642;112;4530;3550;2843;5237;369;4868;707;
März / Mars 2007;2391;2302;291;4984;108;4876;3932;3246;5562;382;5180;686;
April / Avril 2007;2320;2313;274;4907;190;4717;3184;3199;4702;357;4345;-15;
Mai / Mai 2007;3160;2365;248;5773;214;5559;2275;3048;4786;341;4445;-773;
Juni / Juin 2007;4370;1799;243;6412;262;6150;1717;3186;4681;313;4368;-1469;
Juli / Juillet 2007;4532;2271;262;7065;227;6838;1530;3733;4635;348;4287;-2203;
August / Août 2007;4280;1378;234;5892;208;5684;1896;2892;4688;346;4342;-996;
September / Septembre 2007;3153;2179;250;5582;191;5391;2440;3031;4800;334;4466;-591;
Oktober / Octobre 2007;2911;2398;263;5572;135;5437;2959;3130;5266;382;4884;-171;
November / Novembre 2007;2410;2334;286;5030;139;4891;3355;2536;5710;385;5325;819;
Dezember / Décembre 2007;2363;2418;273;5054;160;4894;3865;2849;5910;397;5513;1016;
Januar / Janvier 2008;2379;2409;279;5067;163;4904;3803;2726;5981;377;5604;1077;
Februar / Février 2008;2243;2252;272;4767;125;4642;3474;2586;5530;389;5141;888;
März / Mars 2008;2273;2401;280;4954;142;4812;3451;2651;5612;385;5227;800;
April / Avril 2008;2301;2320;272;4893;203;4690;2930;2354;5266;400;4866;576;
Mai / Mai 2008;3554;2332;255;6141;314;5827;1990;2964;4853;346;4507;-974;
Juni / Juin 2008;4500;1460;269;6229;307;5922;1496;2643;4775;320;4455;-1147;
Juli / Juillet 2008;4356;2295;276;6927;330;6597;1365;3248;4714;354;4360;-1883;
August / Août 2008;3976;1253;275;5504;312;5192;1970;2465;4697;346;4351;-495;
September / Septembre 2008;4288;2256;267;6811;205;6606;1551;3208;4949;345;4604;-1657;
Oktober / Octobre 2008;2574;2392;275;5241;230;5011;2903;2622;5292;384;4908;281;
November / Novembre 2008;2660;2338;273;5271;166;5105;3022;2577;5550;374;5176;445;
Dezember / Décembre 2008;2455;2424;283;5162;188;4974;3646;2692;5928;398;5530;954;
Januar / Janvier 2009;2675;2426;284;5385;117;5268;3622;2640;6250;394;5856;982;
Februar / Février 2009;2226;2184;262;4672;137;4535;3410;2426;5519;388;5131;984;
März / Mars 2009;2389;2414;273;5076;184;4892;3328;2602;5618;386;5232;726;
April / Avril 2009;2899;2324;264;5487;176;5311;2070;2705;4676;355;4321;-635;
Mai / Mai 2009;3890;2365;260;6515;283;6232;1453;3050;4635;331;4304;-1597;
Juni / Juin 2009;4354;1725;257;6336;245;6091;1703;3239;4555;305;4250;-1536;
Juli / Juillet 2009;4703;2267;266;7236;319;6917;1388;3699;4606;346;4260;-2311;
August / Août 2009;4451;1213;258;5922;289;5633;1790;2792;4631;341;4290;-1002;
September / Septembre 2009;2916;2056;271;5243;221;5022;2601;2863;4760;332;4428;-262;
Oktober / Octobre 2009;2356;2403;272;5031;200;4831;2978;2607;5202;378;4824;371;
November / Novembre 2009;1976;2320;285;4581;151;4430;3319;2321;5428;366;5062;998;
Dezember / Décembre 2009;2301;2422;287;5010;201;4809;3706;2581;5934;398;5536;1125;
Januar / Janvier 2010;2805;2423;326;5554;137;5417;3394;2567;6244;394;5850;827;
Februar / Février 2010;2402;2187;306;4895;107;4788;3344;2508;5624;395;5229;836;
März / Mars 2010;2319;2412;305;5036;150;4886;3735;2756;5865;403;5462;979;
April / Avril 2010;2116;2326;296;4738;161;4577;2977;2560;4994;379;4615;417;
Mai / Mai 2010;3384;2203;306;5893;249;5644;2030;2729;4945;353;4592;-699;
Juni / Juin 2010;4328;1562;296;6186;372;5814;1833;2864;4783;320;4463;-1031;
Juli / Juillet 2010;4227;2129;307;6663;361;6302;1971;3506;4767;358;4409;-1535;
August / Août 2010;3985;1246;303;5534;296;5238;2093;2556;4775;352;4423;-463;
September / Septembre 2010;3216;1494;270;4980;163;4817;2628;2542;4903;342;4561;86;
Oktober / Octobre 2010;2805;2428;300;5533;169;5364;3066;3031;5399;392;5007;35;
November / Novembre 2010;2694;2350;292;5336;183;5153;3163;2633;5683;383;5300;530;
Dezember / Décembre 2010;3169;2445;290;5904;146;5758;3167;2629;6296;422;5874;538;
Januar / Janvier 2011;2652;2435;321;5408;144;5264;3682;2733;6213;392;5821;949;revidiert / révisé
Februar / Février 2011;2228;2177;311;4716;99;4617;3733;2743;5607;394;5213;990;
März / Mars 2011;2032;2426;321;4779;167;4612;3726;2526;5812;399;5413;1200;
April / Avril 2011;2142;2321;291;4754;189;4565;2758;2494;4829;366;4463;264;
Mai / Mai 2011;2795;2397;264;5456;238;5218;2143;2421;4940;353;4587;-278;
Juni / Juin 2011;3392;1561;257;5210;332;4878;2265;2489;4654;312;4342;-224;
Juli / Juillet 2011;3663;2057;310;6030;376;5654;2124;3135;4643;349;4294;-1011;
August / Août 2011;3518;1151;285;4954;315;4639;2181;2098;4722;348;4374;83;
September / Septembre 2011;3539;1835;269;5643;195;5448;1852;2495;4805;335;4470;-643;
Oktober / Octobre 2011;2772;2397;286;5455;122;5333;3028;3135;5226;379;4847;-107;
November / Novembre 2011;2535;2361;300;5196;120;5076;3532;2988;5620;378;5242;544;
Dezember / Décembre 2011;2527;2442;311;5280;169;5111;3800;2980;5931;398;5533;820;
Januar / Janvier 2012;2796;2437;310;5543;133;5410;3616;2900;6126;386;5740;716;
Februar / Février 2012;2835;2276;309;5420;92;5328;3585;2661;6252;440;5812;924;
März / Mars 2012;2148;2357;349;4854;157;4697;3777;2883;5591;384;5207;894;
April / Avril 2012;2445;2222;297;4964;174;4790;2749;2507;5032;381;4651;242;
Mai / Mai 2012;3771;2291;326;6388;227;6161;1537;2906;4792;343;4449;-1369;
Juni / Juin 2012;4486;1508;293;6287;360;5927;1680;2948;4659;313;4346;-1268;
Juli / Juillet 2012;4560;2236;320;7116;317;6799;1269;3434;4634;348;4286;-2165;
August / Août 2012;4244;1351;309;5904;288;5616;1498;2406;4708;347;4361;-908;
September / Septembre 2012;3426;1296;287;5009;185;4824;2540;2621;4743;331;4412;-81;
Oktober / Octobre 2012;3414;1567;295;5276;141;5135;3280;3121;5294;384;4910;159;
November / Novembre 2012;2865;2362;344;5571;147;5424;3041;2884;5581;376;5205;157;
Dezember / Décembre 2012;2916;2442;329;5687;190;5497;2977;2478;5996;402;5594;499;
Januar / Janvier 2013;3112;2421;343;5876;101;5775;3240;2834;6181;389;5792;406;
Februar / Février 2013;3003;2214;342;5559;69;5490;3271;2922;5839;411;5428;349;
März / Mars 2013;2333;2437;369;5139;87;5052;3268;2399;5921;408;5513;869;
April / Avril 2013;2419;2352;341;5112;124;4988;2362;2182;5168;391;4777;180;
Mai / Mai 2013;4038;1713;332;6083;146;5937;1826;2837;4926;353;4573;-1011;
Juni / Juin 2013;3983;1555;300;5838;253;5585;1691;2566;4710;316;4394;-875;
Juli / Juillet 2013;4416;1817;314;6547;308;6239;1601;3146;4694;352;4342;-1545;
August / Août 2013;4035;1710;294;6039;272;5767;1540;2646;4661;344;4317;-1106;
September / Septembre 2013;3097;1328;280;4705;245;4460;2345;2048;4757;332;4425;297;
Oktober / Octobre 2013;2953;2454;299;5706;199;5507;2536;2823;5220;379;4841;-287;
November / Novembre 2013;3297;2394;318;6009;138;5871;2862;3052;5681;382;5299;-190;
Dezember / Décembre 2013;2886;2476;337;5699;190;5509;3332;2815;6026;404;5622;517;
Januar / Janvier 2014;2509;2469;326;5304;154;5150;3525;2636;6039;380;5659;889;
Februar / Février 2014;2518;2233;304;5055;122;4933;3360;2816;5477;386;5091;544;
März / Mars 2014;2776;2459;378;5613;126;5487;3248;3151;5584;385;5199;97;
April / Avril 2014;2932;2257;319;5508;140;5368;1818;2344;4842;366;4476;-526;
Mai / Mai 2014;3525;2449;318;6292;226;6066;1531;2730;4867;349;4518;-1199;
Juni / Juin 2014;3975;1659;309;5943;337;5606;1596;2657;4545;305;4240;-1061;
Juli / Juillet 2014;4430;2122;337;6889;313;6576;1480;3409;4647;348;4299;-1929;
August / Août 2014;4134;1466;315;5915;331;5584;1532;2539;4577;338;4239;-1007;
September / Septembre 2014;3174;1956;309;5439;227;5212;2064;2500;4776;333;4443;-436;
Oktober / Octobre 2014;2963;2441;344;5748;143;5605;2614;3046;5173;376;4797;-432;
